name,count,each_bytes,total_mib,notes
D_matrix,100000,40,3.815,n rows of k uint64 (one-hot)
q_vector,1,800000,0.763,flat n uint64 voting power
rlk,1,37750288,36.001,
galois_keys,50,37750304,1800.075,
galois_elements,50,8,0.000,uint64 indices fed to GenGaloisKeysNew
qExtCiphertexts,16,4194734,64.007,each_bytes is mean across slice
qBaseCiphertexts,16,4194734,64.007,each_bytes is mean across slice
benchmarkInputFixtures,1,4194734,4.000,each_bytes is mean across slice
candidatePeriodInputs/p0,16,4194734,64.007,each_bytes is mean across slice
sharedMaskCiphertexts/p0,16,4194734,64.007,each_bytes is mean across slice
delegationPeriodInputs/p0,16,4194734,64.007,each_bytes is mean across slice
candidatePeriodInputs/p1,16,4194734,64.007,each_bytes is mean across slice
sharedMaskCiphertexts/p1,16,4194734,64.007,each_bytes is mean across slice
delegationPeriodInputs/p1,16,4194734,64.007,each_bytes is mean across slice
candidatePeriodInputs/p2,16,4194734,64.007,each_bytes is mean across slice
sharedMaskCiphertexts/p2,16,4194734,64.007,each_bytes is mean across slice
delegationPeriodInputs/p2,16,4194734,64.007,each_bytes is mean across slice
candidatePeriodInputs/p3,16,4194734,64.007,each_bytes is mean across slice
sharedMaskCiphertexts/p3,16,4194734,64.007,each_bytes is mean across slice
delegationPeriodInputs/p3,16,4194734,64.007,each_bytes is mean across slice
candidatePeriodInputs/p4,16,4194734,64.007,each_bytes is mean across slice
sharedMaskCiphertexts/p4,16,4194734,64.007,each_bytes is mean across slice
delegationPeriodInputs/p4,16,4194734,64.007,each_bytes is mean across slice
sampled_input_ciphertexts,300000,4194734,1200123.024,benchmark sample count only; not a communication estimate
vCiphertexts,16,4194734,64.007,each_bytes is mean across slice
dCiphertexts,16,4194734,64.007,each_bytes is mean across slice
dWeighted,16,4194734,64.007,each_bytes is mean across slice
ctDelegateSupport,1,4194734,4.000,each_bytes is mean across slice
dTildeCiphertexts,16,4194734,64.007,each_bytes is mean across slice
dwCiphertexts,16,4194734,64.007,each_bytes is mean across slice
voterWeightCiphertexts,16,4194734,64.007,each_bytes is mean across slice
voterWeightExpanded,16,4194734,64.007,each_bytes is mean across slice
ctResult,1,4194734,4.000,each_bytes is mean across slice
