phase,op,count
3-pre-election-weight-input-preparation,Encode,3
3-pre-election-weight-input-preparation,EncryptNew,2
3-pre-election-weight-input-preparation,MulNew,2
3.1-benchmark-input-fixture-preparation,EncodeInputFixture,1
3.1-benchmark-input-fixture-preparation,EncryptInputFixture,1
4.1-streamed-input-reception-and-aggregation,Add,30000
4.1-streamed-input-reception-and-aggregation,Encode,5
4.1-streamed-input-reception-and-aggregation,EncryptNew,30
4.2-tally-periodic-echo-tree,AddNew,84
4.2-tally-periodic-echo-tree,MulNew,20
4.2-tally-periodic-echo-tree,MulRelinNew,64
4.3-tally-lagrange-indicator,Add (poly-est),20
4.3-tally-lagrange-indicator,MulRelinNew (poly-est),20
4.3-tally-lagrange-indicator,PolyEvaluate,4
4.4-tally-delegate-support,Add,1
4.4-tally-delegate-support,AddNew,2
4.4-tally-delegate-support,Encode,1
4.4-tally-delegate-support,MulNew,1
4.4-tally-delegate-support,MulRelinNew,2
4.4-tally-delegate-support,RotateAndAdd,2
4.4-tally-delegate-support,RotateRowsNew,2
4.5-tally-dTilde,AddNew,2
4.5-tally-dTilde,MulNew,2
4.5-tally-dTilde,MulRelinNew,2
4.5-tally-dTilde,RotateAndAdd,2
4.6-tally-Dw+dTilde,Add,5
4.6-tally-Dw+dTilde,AddNew,2
4.6-tally-Dw+dTilde,Encode,6552
4.6-tally-Dw+dTilde,MulNew,5
4.6-tally-Dw+dTilde,RotateColumnsNew,5
4.7-tally-vote-weight-product,Add,9
4.7-tally-vote-weight-product,AddNew,1
4.7-tally-vote-weight-product,MulRelinNew,2
4.7-tally-vote-weight-product,RotateAndAdd,1
4.7-tally-vote-weight-product,RotateColumnsNew,8
4.7-tally-vote-weight-product,RotateRowsNew,1
5-threshold-decrypt-verify,Decode,1
5-threshold-decrypt-verify,DecryptNew,1
